epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8183,1.73025,1.36366,1.06862,0.84164,0.70529,0.78911,0.44603,1.58334,0.92872,1.04892,0.000554201,0.000554201,0.000554201
2,139.277,1.63736,0.93334,1.04047,0.86428,0.76276,0.8431,0.48939,1.51794,0.83247,1.03119,0.00109888,0.00109888,0.00109888
3,207.994,1.60341,0.86683,1.04315,0.85556,0.7408,0.82911,0.48616,1.51501,0.82263,1.04206,0.00163256,0.00163256,0.00163256
4,277.595,1.58793,0.83372,1.0371,0.84688,0.78351,0.85532,0.51707,1.47242,0.77457,1.02429,0.00161749,0.00161749,0.00161749
5,347.398,1.56882,0.80331,1.03055,0.87074,0.78991,0.87539,0.5252,1.48157,0.75527,1.02898,0.00160099,0.00160099,0.00160099
6,418.596,1.55908,0.78144,1.02895,0.8787,0.79743,0.8767,0.53397,1.45985,0.72426,1.0197,0.00158448,0.00158448,0.00158448
7,490.36,1.53963,0.76401,1.02029,0.89096,0.79905,0.88069,0.54131,1.44213,0.70774,1.00985,0.00156798,0.00156798,0.00156798
8,561.4,1.53319,0.75688,1.0203,0.88371,0.8023,0.88061,0.53555,1.44917,0.74746,1.01919,0.00155148,0.00155148,0.00155148
9,632.58,1.52173,0.74707,1.0132,0.89782,0.8161,0.89264,0.55177,1.43594,0.69284,1.00951,0.00153497,0.00153497,0.00153497
10,703.654,1.51449,0.73308,1.01616,0.89467,0.82193,0.89672,0.55381,1.41425,0.67482,1.00674,0.00151847,0.00151847,0.00151847
11,759.894,1.5047,0.72873,1.0122,0.89425,0.8234,0.89435,0.54872,1.43973,0.68499,1.01538,0.00150197,0.00150197,0.00150197
12,812.294,1.50647,0.72025,1.01097,0.88747,0.82897,0.90162,0.56463,1.42331,0.66737,1.00605,0.00148546,0.00148546,0.00148546
13,861.355,1.49005,0.70686,1.00902,0.90352,0.82618,0.89996,0.55788,1.40956,0.65701,0.99838,0.00146896,0.00146896,0.00146896
14,908.445,1.4801,0.70231,1.00867,0.9018,0.83397,0.90021,0.56174,1.42432,0.65293,1.00561,0.00145246,0.00145246,0.00145246
15,956.342,1.47892,0.69938,1.00567,0.89293,0.84029,0.90303,0.56541,1.40522,0.65442,1.00013,0.00143595,0.00143595,0.00143595
16,1005.5,1.47595,0.69543,1.0075,0.90612,0.83329,0.90522,0.56944,1.40275,0.63937,1.00097,0.00141945,0.00141945,0.00141945
17,1054.54,1.47862,0.69242,1.0023,0.90371,0.83583,0.90821,0.5729,1.39324,0.63529,0.99649,0.00140295,0.00140295,0.00140295
18,1103.48,1.46857,0.68504,1.00185,0.9033,0.85126,0.91352,0.57305,1.39086,0.63512,0.99514,0.00138644,0.00138644,0.00138644
19,1152.07,1.46697,0.68008,0.99843,0.90795,0.84647,0.91087,0.58069,1.38527,0.63124,0.99589,0.00136994,0.00136994,0.00136994
20,1200.67,1.46331,0.67394,1.00043,0.91207,0.84232,0.91145,0.57532,1.40302,0.62706,0.99697,0.00135344,0.00135344,0.00135344
21,1249.23,1.45634,0.67248,0.99788,0.89771,0.84832,0.91214,0.57682,1.38917,0.63084,0.99522,0.00133693,0.00133693,0.00133693
22,1297.73,1.4582,0.67381,1.00004,0.90198,0.85399,0.91052,0.5794,1.38672,0.62851,0.99535,0.00132043,0.00132043,0.00132043
23,1346.23,1.44953,0.66682,0.99451,0.89707,0.85112,0.91091,0.57966,1.38592,0.6274,0.99026,0.00130393,0.00130393,0.00130393
24,1394.51,1.45402,0.66873,0.99575,0.90458,0.84608,0.91248,0.57776,1.38328,0.62432,0.98834,0.00128742,0.00128742,0.00128742
25,1443.53,1.44524,0.65795,0.99218,0.91139,0.84777,0.91308,0.58188,1.38478,0.61761,0.99258,0.00127092,0.00127092,0.00127092
26,1491.81,1.44377,0.66018,0.99568,0.89977,0.85723,0.91434,0.58587,1.3711,0.60892,0.98574,0.00125442,0.00125442,0.00125442
27,1539.6,1.43722,0.65695,0.99064,0.91187,0.85228,0.91784,0.58512,1.37776,0.60699,0.98705,0.00123791,0.00123791,0.00123791
28,1586.35,1.44145,0.65507,0.99247,0.90734,0.85522,0.91684,0.58519,1.3727,0.60931,0.98649,0.00122141,0.00122141,0.00122141
29,1633.64,1.43442,0.64916,0.9894,0.91578,0.84955,0.91782,0.58723,1.37992,0.61145,0.98745,0.00120491,0.00120491,0.00120491
30,1680.78,1.4348,0.65222,0.98971,0.91031,0.85374,0.91593,0.58345,1.37749,0.60912,0.98945,0.0011884,0.0011884,0.0011884
31,1727.52,1.42834,0.64665,0.98807,0.90546,0.86195,0.92168,0.59245,1.36997,0.60102,0.98578,0.0011719,0.0011719,0.0011719
32,1774.52,1.44094,0.64672,0.98858,0.91041,0.85451,0.92142,0.59496,1.36785,0.60024,0.98786,0.0011554,0.0011554,0.0011554
33,1820.87,1.43342,0.64197,0.98695,0.91159,0.85583,0.91959,0.59099,1.36535,0.60288,0.98572,0.00113889,0.00113889,0.00113889
34,1868.32,1.42672,0.63886,0.98634,0.90897,0.86193,0.92367,0.59421,1.36421,0.5916,0.98301,0.00112239,0.00112239,0.00112239
35,1915.43,1.42355,0.63428,0.98601,0.89994,0.86015,0.92193,0.59252,1.37242,0.59714,0.98302,0.00110589,0.00110589,0.00110589
36,1963.23,1.41344,0.63238,0.98283,0.90416,0.86416,0.92117,0.59425,1.37185,0.59689,0.98587,0.00108938,0.00108938,0.00108938
37,2011.02,1.41129,0.63059,0.98235,0.90522,0.85935,0.92154,0.59574,1.36361,0.59118,0.98228,0.00107288,0.00107288,0.00107288
