epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.92643,1.73121,2.93927,1.95656,0.0032,0.99081,0.18205,0.06654,1.68297,2.85947,2.43394,0.00046676,0.00046676,0.00046676
2,10.9437,1.47453,2.31855,1.72631,0.30297,0.69805,0.33016,0.16193,1.50585,2.2107,2.19868,0.000931376,0.000931376,0.000931376
3,15.8709,1.43427,2.13699,1.66966,0.3426,0.64432,0.36971,0.17606,1.55034,2.18126,2.26885,0.00137685,0.00137685,0.00137685
4,20.4492,1.50154,1.9984,1.69867,0.37996,0.62089,0.39063,0.1355,2.05298,2.2715,3.17377,0.00156798,0.00156798,0.00156798
5,24.9004,1.49725,1.92943,1.69642,0.33274,0.38899,0.24863,0.06957,2.4839,2.76367,3.23053,0.00153497,0.00153497,0.00153497
6,29.4366,1.48966,1.80407,1.6905,0.4135,0.84556,0.47645,0.23022,1.57657,2.0785,2.30009,0.00150197,0.00150197,0.00150197
7,33.8941,1.45157,1.76136,1.65689,0.31585,0.70867,0.37742,0.10003,2.44045,1.96382,3.38921,0.00146896,0.00146896,0.00146896
8,38.3034,1.46475,1.65214,1.64471,0.40476,0.71579,0.43144,0.21201,1.56332,2.3224,2.18128,0.00143595,0.00143595,0.00143595
9,42.6171,1.44929,1.58184,1.62436,0.45194,0.94669,0.50204,0.29462,1.34863,1.36855,1.90399,0.00140295,0.00140295,0.00140295
10,46.9724,1.37777,1.57971,1.58742,0.46055,0.93195,0.50039,0.25485,1.58809,1.34182,2.09917,0.00136994,0.00136994,0.00136994
11,51.3271,1.39197,1.53045,1.58003,0.33679,0.94422,0.4102,0.2507,1.26929,1.37482,1.79987,0.00133693,0.00133693,0.00133693
12,55.7487,1.36641,1.46481,1.55877,0.44773,0.85323,0.49589,0.22965,1.76049,1.41992,2.25077,0.00130393,0.00130393,0.00130393
13,60.2412,1.32504,1.41755,1.51387,0.44373,0.9359,0.52396,0.28216,1.41605,1.26708,1.92962,0.00127092,0.00127092,0.00127092
14,64.951,1.34506,1.38134,1.53632,0.4718,0.96911,0.52547,0.33804,1.24372,1.1955,1.75452,0.00123791,0.00123791,0.00123791
15,69.8001,1.28566,1.3376,1.49566,0.4641,0.94054,0.5261,0.27433,1.57066,1.27646,2.12404,0.00120491,0.00120491,0.00120491
16,74.476,1.32328,1.33173,1.524,0.47121,0.99487,0.54344,0.34852,1.19488,1.12231,1.70501,0.0011719,0.0011719,0.0011719
17,79.1583,1.3076,1.3558,1.5212,0.46683,0.98002,0.52465,0.32647,1.29563,1.22658,1.74755,0.00113889,0.00113889,0.00113889
18,83.7672,1.29195,1.30947,1.49306,0.47586,0.99572,0.55546,0.36371,1.16082,1.08554,1.65047,0.00110589,0.00110589,0.00110589
19,88.3915,1.28263,1.29705,1.4957,0.48031,0.98852,0.5378,0.34269,1.22681,1.07855,1.7455,0.00107288,0.00107288,0.00107288
