epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.56036,1.45525,2.75874,1.89058,0.00333,1,0.0918,0.03212,1.24883,3.18928,2.16886,4e-05,4e-05,4e-05
2,2.54331,1.36313,2.76909,1.75686,0.00333,1,0.14952,0.05961,1.15458,3.16201,2.05826,9.802e-05,9.802e-05,9.802e-05
3,3.59328,1.41854,2.69466,1.87857,0.00333,1,0.65169,0.31038,0.98851,3.12109,1.92772,0.000153664,0.000153664,0.000153664
4,4.61953,1.18698,2.30311,1.6752,0.00333,1,0.77157,0.32209,1.53518,3.31133,2.61716,0.000206932,0.000206932,0.000206932
5,5.64132,1.00146,1.70048,1.47443,0.00333,1,0.91406,0.45464,1.47674,3.0825,2.5546,0.000257824,0.000257824,0.000257824
6,6.65118,1.19931,1.64416,1.59711,0.00333,1,0.94089,0.52668,1.28283,3.0042,2.27666,0.00030634,0.00030634,0.00030634
7,7.68395,1.05117,1.44798,1.52411,0.00584,1,0.87143,0.49257,1.27363,2.88994,2.29592,0.00035248,0.00035248,0.00035248
8,8.71589,1.0492,1.53233,1.48001,0.13807,1,0.90983,0.54629,1.17751,2.85791,2.07714,0.000396244,0.000396244,0.000396244
9,9.73033,1.10784,1.49003,1.5589,0.82169,0.97436,0.96741,0.55492,1.09396,2.73174,1.94125,0.000437632,0.000437632,0.000437632
10,10.7269,1.09558,1.51286,1.55411,0.97126,0.86664,0.97402,0.58972,1.08554,2.75086,1.91216,0.000476644,0.000476644,0.000476644
11,11.7693,1.03404,1.37257,1.42387,1,0.19679,0.97619,0.53926,1.24444,2.69994,2.21052,0.00051328,0.00051328,0.00051328
12,12.7608,1.05662,1.38138,1.43903,0.9598,0.61234,0.94177,0.4929,1.30362,2.65761,2.27324,0.00054754,0.00054754,0.00054754
13,13.7752,1.12316,1.30405,1.49391,0.89792,0.74359,0.92605,0.55397,1.19465,2.56124,2.01821,0.000579424,0.000579424,0.000579424
14,14.7679,1.058,1.36283,1.46473,0.84072,0.61538,0.79867,0.41232,1.67361,2.65445,2.58487,0.000608932,0.000608932,0.000608932
15,15.7605,1.10527,1.41901,1.54354,0.81485,0.5641,0.73274,0.3379,2.24553,2.76633,3.22712,0.000636064,0.000636064,0.000636064
16,16.7628,1.05578,1.29557,1.50021,0.86735,0.67073,0.89675,0.54846,1.43069,2.54312,2.35703,0.00066082,0.00066082,0.00066082
17,17.7711,1.04736,1.26816,1.48588,0.77142,0.82051,0.90006,0.57935,1.17054,2.38788,2.10353,0.0006832,0.0006832,0.0006832
18,18.7591,1.02243,1.21717,1.48049,0.69235,0.79487,0.82128,0.45734,1.35633,2.39093,2.34639,0.000703204,0.000703204,0.000703204
19,19.7425,1.01166,1.12443,1.4323,0.55905,0.74777,0.76143,0.40659,1.49315,2.42758,2.58476,0.000720832,0.000720832,0.000720832
20,20.768,1.12207,1.22641,1.51171,0.68896,0.56806,0.72931,0.37646,1.48489,2.52663,2.34692,0.000736084,0.000736084,0.000736084
21,21.7963,1.17381,1.29746,1.61055,0.52867,0.74359,0.71796,0.36973,1.35831,2.47418,2.16035,0.00074896,0.00074896,0.00074896
22,22.7841,1.04305,1.1877,1.50975,0.57302,0.87179,0.66042,0.28516,1.71837,2.59503,2.75624,0.00075946,0.00075946,0.00075946
23,23.7547,1.09932,1.10017,1.45541,0.62804,0.79487,0.63718,0.31533,1.69653,2.70156,2.74121,0.000767584,0.000767584,0.000767584
24,24.7697,1.02291,1.07256,1.44669,0.81309,0.89245,0.8985,0.5296,1.3145,2.21083,2.02872,0.000773332,0.000773332,0.000773332
25,25.7706,0.99339,1.07111,1.44045,0.81518,0.94872,0.94087,0.59816,1.14673,2.02286,1.85395,0.000776704,0.000776704,0.000776704
26,26.7564,1.04186,1.17475,1.48692,0.82215,0.94827,0.92859,0.5562,1.22955,1.95467,1.96953,0.0007777,0.0007777,0.0007777
27,27.77,0.97354,1.06653,1.40258,0.86511,0.87179,0.93315,0.57772,1.2462,2.00066,1.92698,0.00077632,0.00077632,0.00077632
28,28.7634,1.12068,1.41573,1.52338,0.80306,0.89744,0.92519,0.55875,1.36767,1.96931,2.12686,0.000772564,0.000772564,0.000772564
29,29.7446,0.89217,1.0553,1.39781,0.80306,0.89744,0.92519,0.55875,1.36767,1.96931,2.12686,0.000766432,0.000766432,0.000766432
30,30.7471,1.14347,1.12,1.49903,0.92022,0.88738,0.97322,0.64788,1.16657,1.70969,1.85765,0.000757924,0.000757924,0.000757924
31,31.7821,0.98067,1.04987,1.39333,0.97358,0.94513,0.98724,0.63985,1.11591,1.6084,1.74403,0.00074704,0.00074704,0.00074704
32,32.7528,1.02164,1.0367,1.34431,0.95035,0.89744,0.9837,0.6526,0.9902,1.43163,1.62276,0.00073378,0.00073378,0.00073378
33,33.7354,0.81862,1.05044,1.29297,0.95035,0.89744,0.9837,0.6526,0.9902,1.43163,1.62276,0.000718144,0.000718144,0.000718144
34,34.7414,0.97356,1.07458,1.37058,0.99226,0.97436,0.99125,0.69768,0.93164,1.24024,1.59005,0.0006932,0.0006932,0.0006932
35,35.7616,0.89349,0.99343,1.36468,0.97,1,0.9945,0.75725,0.8316,1.11924,1.45996,0.0006536,0.0006536,0.0006536
36,36.798,0.88949,0.93427,1.36518,0.97111,1,0.9925,0.80819,0.76961,0.98876,1.35768,0.000614,0.000614,0.000614
37,37.789,0.90694,1.10786,1.36455,0.97111,1,0.9925,0.80819,0.76961,0.98876,1.35768,0.0005744,0.0005744,0.0005744
38,38.7718,0.90628,1.06941,1.33068,0.97251,1,0.995,0.7973,0.78243,0.95573,1.38308,0.0005348,0.0005348,0.0005348
39,39.7599,0.81845,0.90316,1.2874,0.99649,1,0.995,0.78872,0.82876,0.91812,1.46031,0.0004952,0.0004952,0.0004952
40,40.7286,0.83747,0.96912,1.30281,1,0.9698,0.9945,0.78384,0.83851,0.91149,1.50843,0.0004556,0.0004556,0.0004556
41,41.6706,0.70898,1.34859,1.36517,1,0.9698,0.9945,0.78384,0.83851,0.91149,1.50843,0.000416,0.000416,0.000416
42,42.591,0.66463,1.30159,1.23678,0.97153,1,0.9945,0.81809,0.7784,0.92084,1.41951,0.0003764,0.0003764,0.0003764
43,43.5141,0.68963,1.31536,1.34811,0.99343,1,0.995,0.83257,0.76112,0.97373,1.36074,0.0003368,0.0003368,0.0003368
44,44.4515,0.70045,1.23137,1.37041,0.99601,1,0.995,0.81566,0.7944,1.01973,1.3602,0.0002972,0.0002972,0.0002972
45,45.3639,0.67298,1.09828,1.23668,0.99601,1,0.995,0.81566,0.7944,1.01973,1.3602,0.0002576,0.0002576,0.0002576
46,46.2709,0.59354,1.08665,1.1475,0.99738,1,0.995,0.82428,0.78943,0.9899,1.36737,0.000218,0.000218,0.000218
47,47.1732,0.66967,1.05878,1.30181,0.99719,1,0.995,0.83406,0.76987,0.97082,1.34327,0.0001784,0.0001784,0.0001784
48,48.1056,0.62976,1.05159,1.25692,0.99711,1,0.995,0.84667,0.72058,0.95565,1.2733,0.0001388,0.0001388,0.0001388
49,49.0275,0.67453,1.08328,1.38847,0.99711,1,0.995,0.84667,0.72058,0.95565,1.2733,9.92e-05,9.92e-05,9.92e-05
50,50.0037,0.59329,1.02095,1.20058,0.99747,1,0.995,0.85686,0.67866,0.92465,1.22781,5.96e-05,5.96e-05,5.96e-05
